ID,Name,DamageType,Damage,RangeX1,RangeY1,RangeX2,RangeY2,Delay,Clip,0A,1A,2A,3A,4A,0B,1B,2B,3B,4B,Additional Effect
2000,InitialState,0,0,0,0,0,0,0,Bow_Attack1,2001,0,0,0,0,2101,0,0,0,0,
2001,HarpStart,1,1,0.9,1,4,2,0.5,Bow_Attack1,0,0,0,2002,0,0,0,0,0,0,
2002,BasicHarpAttack1-1,1,1.2,0.9,1,4,2,0.5,Bow_Attack1,0,0,0,2003,0,0,0,0,2012,0,
2003,BasicHarpAttack1-2,1,1.2,0.9,1,4,2,0.5,Bow_Attack2,0,0,2043,2004,2023,0,0,0,0,0,
2004,BasicHarpAttack1-3,1,1.2,0.9,1,4,2,0.5,Bow_Attack3,0,0,0,2005,0,0,0,0,0,0,
2005,BasicHarpAttack1-4,1,1.5,0.9,1,6,2,0.6,Bow_Skill2_Slow,0,0,0,0,0,0,0,0,0,0,
2012,BasicHarpAttack2-2,1,1.5,0.9,1,4,2,0.6,Bow_Attack1,0,0,0,2013,0,0,0,0,0,0,
2013,BasicHarpAttack2-3,1,1.2,0.9,1,4,2,0.5,Bow_Attack2,0,0,0,0,0,0,0,0,2014,0,
2014,BasicHarpAttack2-4,1,1.8,0.9,1,4,3,0.7,Bow_Attack1,0,0,0,0,0,0,0,0,0,0,
2023,SpecialHarpAttack1-3,1,1.5,0.9,1,4,3,0.5,Bow_Skill6_Move,0,0,0,0,2024,0,0,0,0,0,
2024,SpecialHarpAttack1-4,2,1.7,0.9,2,5,3,0.6,Bow_Skill6_Move,0,0,0,0,0,0,0,0,0,0,
2101,HarpStrongStart,1,1.5,0.9,1,4,2,0.7,Bow_Attack1,0,0,0,2102,0,0,0,0,0,0,
2102,SpecialHarpAttack2-1,1,1.5,0.9,1,5,3,0.6,Bow_Skill5_Pull,0,0,0,0,2122,0,0,0,2103,0,
2103,SpecialHarpAttack2-2,1,1.2,0.9,1,7,3,0.5,Bow_Attack2,0,0,0,2113,2104,0,0,0,0,0,
2104,SpecialHarpAttack2-3,2,2,0.9,1,7,3,0.9,Bow_Attack3,0,0,0,0,0,0,0,0,0,2105,
2105,SpecialHarpAttack2-4,2,1.5,0.9,1,8,3,0.6,Bow_Skill6_Move,0,0,0,0,0,0,0,0,0,0,
2113,SpecialHarpAttack3-3,1,1.8,0.9,1,4,2,0.9,Bow_Attack3,0,0,0,0,2114,0,0,0,0,0,
2114,SpecialHarpAttack3-4,1,2,0.9,2,6,2,1,Bow_Attack3,0,0,0,0,0,0,0,0,0,0,
2122,HarpHeavyAttack2,1,1.5,0.9,2,4,2,0.7,Bow_Attack3,0,0,0,0,0,0,0,0,0,2123,
2123,HarpHeavyAttack3,1,2,0.9,2,4,3,0.8,Bow_DodgeAttack,0,0,0,0,0,0,0,0,0,2124,
2124,HarpHeavyAttack4,1,2.5,0.9,2,4,3,1,Bow_Skill4_Push,0,0,0,0,0,0,0,0,0,0,
2043,BasicHarpAttack3-3,1,0.8,0.9,1,4,2,0.4,Bow_Attack1,0,0,2044,0,0,0,0,0,0,0,
2044,BasicHarpAttack3-4,1,0.8,0.9,1,4,2,0.5,Bow_Attack3,0,0,0,0,0,0,0,0,0,0,
