ID,Name,DamageType,Damage,RangeX1,RangeY1,RangeX2,RangeY2,Delay,Clip,0A,1A,2A,3A,4A,0B,1B,2B,3B,4B,Additional Effect
4000,InitialState,0,0,0,0,0,0,0,Pistol_Attack1,4001,0,0,0,0,4101,0,0,0,0,
4001,TrumpetStart,2,0.5,1.4,1,3,1.5,0.3,Pistol_Attack1-1,0,0,4002,0,0,0,0,0,0,0,
4002,BasicTrumpetAttack1-1,2,0.6,1.4,1,3,1.5,0.3,Pistol_Attack1,0,0,4003,0,4032,0,0,4022,0,0,
4003,BasicTrumpetAttack1-2,2,0.8,1.4,1,3,1.5,0.3,Pistol_Attack1-1,0,4013,4004,0,0,0,0,0,0,0,
4004,BasicTrumpetAttack1-3,2,1,1.4,1,3,1.5,0.3,Pistol_Attack2,0,0,0,0,0,0,0,0,0,0,
4013,SpecialTrumpetAttack1-3,2,1,1.4,2,4,2.5,0.2,Pistol_JumpAttack3,0,0,0,0,0,0,0,0,0,0,
4022,SpecialTrumpetAttack2-2,2,1.5,1.4,1,4,2.5,0.5,Pistol_Attack1-1,0,0,0,0,0,0,0,4023,0,0,
4023,SpecialTrumpetAttack2-3,0,1.5,0,0,4,4,0.6,Pistol_Skill7_Around,0,0,0,0,0,0,0,0,0,0,
4101,TrumpetStrongStart,2,0.8,1.4,1,4,1.5,0.4,Pistol_Attack2,0,0,0,4102,0,0,0,0,0,0,
4102,BasicTrumpetAttack2-1,2,1,1.4,1,4,1.5,0.4,Pistol_Attack1-1,0,0,4122,0,0,0,0,0,4103,0,
4103,BasicTrumpetAttack2-2,2,1,1.4,1,4,1.5,0.4,Pistol_Attack3,0,0,0,4104,0,0,0,0,4113,0,
4104,BasicTrumpetAttack2-3,2,1,1.4,1,4,1.5,0.4,Pistol_Attack2,0,0,0,0,0,0,0,0,0,0,
4113,SpecialTrumpetAttack3-3,2,1.5,1.4,2,4,2.5,0.5,Pistol_Skill4_Push,0,0,0,0,0,0,0,0,0,0,
4122,TrumpetCrushAttack2,2,1,1.4,2,4,3,0.3,Pistol_Attack3,0,0,0,0,0,0,0,0,0,4123,
4123,TrumpetCrushAttack3,2,2,1.4,3,4,3,0.9,Pistol_DodgeAttack,0,0,0,0,0,0,0,0,0,0,
4032,BasicTrumpetAttack3-2,2,1.2,1.4,1,4,1.5,0.6,Pistol_Attack2,0,0,0,0,0,0,0,0,4033,0,
4033,BasicTrumpetAttack3-3,2,1,1.4,1,4,1.5,0.6,Pistol_Attack1-1,0,0,0,0,0,0,0,0,0,0,
