ID,Name,DamageType,Damage,RangeX1,RangeY1,RangeX2,RangeY2,Delay,Clip,0A,1A,2A,3A,4A,0B,1B,2B,3B,4B,Additional Effect
1001,ViolinStart,0,0.5f,0,0,2,1.8,0.3f,Sword&Shield_Attack1,0,1031,0,1002,0,0,0,0,0,0,
1002,BasicAttack1-1,0,1f,0,0,2.5,1.8,0.4f,Sword&Shield_Attack1,0,1042,0,1003,0,0,0,0,1022,0,
1003,BasicAttack1-2,0,1f,0,0,2.5,1.8,0.4f,Sword&Shield_Attack2,0,0,0,1004,0,0,0,1013,0,0,
1004,BasicAttack1-3,0,1f,0,0,2.5,1.8,0.4f,Sword&Shield_Attack1,0,0,0,0,0,0,0,0,1005,0,
1005,BasicAttack1-4,0,1.5f,0,0,3,1.8,0.6f,Sword&Shield_Attack3,0,0,0,0,0,0,0,0,0,0,
1013,SpecialAttack1-3,0,1.5f,0,0,2.5,1.8,0.3f,Sword&Shield_Skill4_Push,0,0,0,0,0,0,0,1014,0,0,
1014,SpecialAttack1-4,0,2.0f,0,0,3,1.8,0.4f,Sword&Shield_Skill7_Around,0,0,0,0,0,0,0,0,0,0,
1022,SpecialAttack3-2,0,1.5f,0,0,2,1.8,0.7f,Sword&Shield_Attack3,0,0,1023,0,0,0,0,0,0,0,
1023,SpecialAttack3-3,0,1f,0,0,2.5,1.8,0.4f,Sword&Shield_Attack2,0,0,0,0,0,0,0,1024,0,0,
1024,SpecialAttack3-4,0,1.5f,0,0,2.5,1.8,0.3f,Sword&Shield_Skill2_Slow,0,0,1025,0,0,0,0,0,0,0,
1025,SpecialAttack3-5,0,1.5f,0,0,3,1.8,0.3f,Sword&Shield_Skill7_Around,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
1031,RapidAttack1,0,1.0f,0,0,2.5,1.8,0.3f,Sword&Shield_Skill7_Around,0,1032,0,0,0,0,0,0,0,0,
1032,RapidAttack2,0,1.2f,0,0,2.5,1.8,0.4f,Sword&Shield_Skill4_Push,0,1033,0,0,0,0,0,0,0,0,
1033,RapidAttack3,0,1.5f,0,0,2.5,1.8,0.2f,Sword&Shield_Skill7_Around,0,0,0,0,0,0,0,1034,0,0,
1034,RapidAttack4,0,1.5f,0,0,2.5,2.4,0.4f,Sword&Shield_Skill1_Float,0,0,0,0,0,0,0,0,1035,0,
1035,RapidAttack5,0,2.5f,0,0,2.5,1.8,0.8f,Sword&Shield_Skill8_Air,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1101,ViolinStrongStart,0,1f,0,0,2,1.8,0.5f,Sword&Shield_Attack3,0,0,0,1102,0,0,0,0,0,0,
1102,BasicAttack2-1,0,1f,0,0,2.5,1.8,0.4f,Sword&Shield_Attack1,0,0,1112,0,0,0,0,0,1103,0,
1103,BasicAttack2-2,0,1.5f,0,0,2.5,1.8,0.5f,Sword&Shield_Attack2,0,0,1104,0,0,0,0,0,0,0,
1104,BasicAttack2-3,0,0.9f,0,0,2.5,1.8,0.3f,Sword&Shield_Attack1,0,0,0,0,0,0,0,1105,0,0,
1105,BasicAttack2-4,0,1.3f,0,0,3,2.4,0.4f,Sword&Shield_JumpAttack1,0,0,0,0,0,0,0,0,0,0,
1112,SpecialAttack2-2,0,1f,0,0,2.5,1.8,0.2f,Sword&Shield_Attack2,0,0,0,0,0,0,0,1113,0,0,
1113,SpecialAttack2-3,0,1.2f,0,0,3,1.8,0.3f,Sword&Shield_Skill4_Push,0,1114,0,0,0,0,0,0,0,0,
1114,SpecialAttack2-4,0,1.5f,0,0,3.5,1.8,0.4f,Sword&Shield_Skill7_Around,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1042,BasicAttack3-2,0,0.6f,,,2,1.8,0.2f,Sword&Shield_Attack1,1043,0,0,0,0,0,0,0,0,0,
1043,BasicAttack3-3,0,0.6f,,,2,1.8,0.2f,Sword&Shield_Attack1,0,1044,0,0,0,0,0,0,0,0,
1044,BasicAttack3-4,0,0.9f,,,2,1.8,0.4f,Sword&Shield_Attack2,0,0,0,0,0,0,0,0,0,0,
